_id,id,name,start_neighborhood,end_neighborhood,built,year_rehab,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
111,381719968,Schenley Park Underpass,Squirrel Hill South,,1939,1988,https://tools.wprdc.org/images/pittsburgh/bridges/Schenley_Park_Underpass.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43531057,-79.94662109
31,1633957439,Commercial Street Bridge,Squirrel Hill South,,1940,1940,https://tools.wprdc.org/images/pittsburgh/bridges/Commercial_Street_Bridge.jpg,Squirrel Hill South,5,14,42003141400,3,14,4,2-19,40.42608677,-79.90613044
55,253242687,Fort Pitt Boulevard Eastbound,Central Business District,,1940,1940,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43788378,-80.004784
80,1736774459,Market Street Bridge,Central Business District,,1940,1940,https://tools.wprdc.org/images/pittsburgh/bridges/Market_Street_Bridge.jpg,Central Business District,6,1,42003020100,6,1,2,1-4,40.43794108,-80.00442182
93,500245006,One Wild Place Bridge,Highland Park,,1940,1940,,Highland Park,7,11,42003980100,2,11,5,3-9,40.48311388,-79.91989237
124,1770746602,Stanwix Street Bridge,Central Business District,,1940,1979,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43843454,-80.00581332
139,796441646,Wood Street Bridge,Central Business District,,1940,1981,https://tools.wprdc.org/images/pittsburgh/bridges/Wood_Street_Bridge.jpg,Central Business District,6,1,42003020100,6,1,2,1-4,40.43732633,-80.00270874
135,862801435,West Elizabeth Street Bridge,Hazelwood,,1940,1940,https://tools.wprdc.org/images/pittsburgh/bridges/West_Elizabeth_Street_Bridge.jpg,Hazelwood,5,15,42003562900,3,15,4,2-13,40.40691662,-79.9442994
60,441837715,Goettman Street Bridge,Troy Hill,,1949,1987,https://tools.wprdc.org/images/pittsburgh/bridges/Goettman_Street_Bridge.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45843977,-79.98767494
58,1316908913,Ganges Way Bridge,Hays,,1951,1951,https://tools.wprdc.org/images/pittsburgh/bridges/Ganges_Way_Bridge.jpg,Hays,5,31,42003562900,3,31,4,4-20,40.3799565,-79.93470471
39,1563359794,Eisel Street Bridge,Arlington,,1952,1952,https://tools.wprdc.org/images/pittsburgh/bridges/Eisel_Street_Bridge.jpg,Arlington,3,16,42003561600,4,16,3,4-13,40.41235444,-79.96843277
34,262339398,East Liberty Boulevard Bridge Northbound,Larimer,,1968,1968,https://tools.wprdc.org/images/pittsburgh/bridges/East_Liberty_Boulevard_Bridge_Northbound.jpg,Larimer,9,12,42003120800,2,12,5,3-10,40.46472977,-79.9188246
35,205186808,East Liberty Boulevard Bridge Southbound,East Liberty,,1968,1968,https://tools.wprdc.org/images/pittsburgh/bridges/East_Liberty_Boulevard_Bridge_Southbound.jpg,East Liberty,9,11,42003111500,2,11,5,3-10,40.4646155,-79.91896542
52,339222553,Forbes Avenue Frick Park Bridge,Regent Square,Point Breeze,1970,1970,https://tools.wprdc.org/images/pittsburgh/bridges/Forbes_Avenue_Frick_Park_Bridge.jpg,Point Breeze,9,14,42003981100,3,14,4,3-14,40.43951947,-79.90033784
25,471129992,Centre Avenue Bridge,Shadyside,Bloomfield,1978,1978,,Shadyside,8,7,42003070900,2,7,4,3-1,40.45459399,-79.94298317
87,2024131946,Murray Avenue Bridge,Greenfield,Squirrel Hill South,1978,1978,https://tools.wprdc.org/images/pittsburgh/bridges/Murray_Avenue_Bridge.jpg,Squirrel Hill South,5,14,42003141400,3,14,4,2-15,40.42701557,-79.92680843
49,1178818331,Fairhaven Road Bridge,Overbrook,,1979,1979,https://tools.wprdc.org/images/pittsburgh/bridges/Fairhaven_Road_Bridge.jpg,Overbrook,4,32,42003320700,4,32,3,4-25,40.37890973,-79.99375
120,826418840,South Graham Street Pedestrian Bridge,Shadyside,,1979,1979,https://tools.wprdc.org/images/pittsburgh/bridges/South_Graham_Street_Pedestrian_Bridge.jpg,Shadyside,8,7,42003070900,2,7,4,3-22,40.45469375,-79.9352869
119,739242121,South Aiken Avenue Bridge,Shadyside,,1979,1979,https://tools.wprdc.org/images/pittsburgh/bridges/South_Aiken_Avenue_Bridge.jpg,Shadyside,8,7,42003070900,2,7,4,3-22,40.45377216,-79.93731909
62,1088820206,Herron Avenue Bridge,Lower Lawrenceville,Polish Hill,1980,1980,https://tools.wprdc.org/images/pittsburgh/bridges/Herron_Avenue_Bridge.jpg,Lower Lawrenceville,7,6,42003060300,2,6,2,3-2,40.46040913,-79.96649111
92,1951085879,North Lang Avenue Pedestrian Bridge,Point Breeze North,Homewood South,1980,1980,https://tools.wprdc.org/images/pittsburgh/bridges/North_Lang_Avenue_Pedestrian_Bridge.jpg,Homewood South,9,13,42003130300,2,13,4,3-17,40.45355881,-79.90090036
48,1988317050,Ensign Avenue Bridge,Bon Air,,1981,1981,https://tools.wprdc.org/images/pittsburgh/bridges/Ensign_Avenue_Bridge.jpg,Bon Air,4,18,42003562400,4,18,3,4-18,40.40616393,-80.00386048
33,1319915134,Crane Avenue Bridge,Mount Washington,,1983,1983,https://tools.wprdc.org/images/pittsburgh/bridges/Crane_Avenue_Bridge.jpg,Mount Washington,4,19,42003191500,5,19,3,4-28,40.41699623,-80.01507663
96,2100602905,Penn Avenue Bridge,Shadyside,East Liberty,1983,1983,https://tools.wprdc.org/images/pittsburgh/bridges/Penn_Avenue_Bridge.jpg,East Liberty,9,7,42003111500,2,7,4,3-11,40.45990302,-79.92096774
100,404921280,PJ McArdle Roadway Bridge Lower,South Shore,Mount Washington,1983,1983,https://tools.wprdc.org/images/pittsburgh/bridges/PJ_McArdle_Roadway_Bridge_Lower.jpg,Mount Washington,3,18,42003191400,5,18,3,4-27,40.43039771,-80.00242203
104,2002152068,Radcliffe Street Bridge,Sheraden,Esplen,1983,1983,https://tools.wprdc.org/images/pittsburgh/bridges/Radcliffe_Street_Bridge.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.46106016,-80.05443117
127,1839741682,Sycamore Street Bridge,South Shore,,1984,1984,https://tools.wprdc.org/images/pittsburgh/bridges/Sycamore_Street_Bridge.jpg,South Shore,3,18,42003980700,5,18,3,4-27,40.4305398,-80.00207145
