_id,id,name,street,to_street,year_constructed,public_view,inactive,height,length,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
41,247304921,Baker St 3,BAKER ST,,1964,True,False,16.0,440.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Baker_St_3.jpg,Morningside,7,10,42003101400,2,10,5,3-7,40.48910243,-79.9323123
42,994175707,Baker St 4,BAKER ST,,1990,True,False,11.5,498.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Baker_St_4.jpg,Morningside,7,10,42003101400,2,10,5,3-7,40.48791972,-79.92355255
43,1329034938,Baldauf St,BALDAUF ST,,1956,True,False,5.5,381.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Baldauf_St.jpg,South Side Slopes,3,17,42003170600,4,17,3,4-3,40.42303861,-79.98001423
379,1364888154,Venture St,VENTURE ST,,1939,True,False,18.0,336.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Venture_St.jpg,Perry North,1,26,42003260700,1,26,1,1-15,40.48501254,-80.01475955
380,447705607,Vinecliffe St,VINECLIFFE ST,,,True,False,,65.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Vinecliffe_St.jpg,Mount Washington,2,19,42003191400,5,19,3,4-27,40.43054855,-80.00638443
381,838996390,Vista St 1,VISTA ST,,1930,True,False,14.0,81.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Vista_St_1.jpg,East Allegheny,1,23,42003563200,1,23,1,1-5,40.45864931,-79.99574254
382,1600923917,Vista St 2,VISTA ST,,,True,False,,80.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Vista_St_2.jpg,East Allegheny,1,23,42003563200,1,23,1,1-5,40.45824305,-79.99757819
383,446658023,Volunteers Field 1,NEWETT ST,,,True,False,,175.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Volunteers_Field_1.jpg,Carrick,4,29,42003290100,4,29,3,4-23,40.39651635,-79.99217694
45,1386948081,Banksville Ave,BANKSVILLE AVE,,1996,True,False,10.0,97.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Banksville_Ave.jpg,Banksville,2,20,42003202300,5,20,6,4-9,40.40658342,-80.03586044
384,1885809202,Walbridge St,WALBRIDGE ST,,,True,False,,350.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Walbridge_St.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.44033014,-80.03652463
47,1139822037,Banksville Ave from Carnahan Rd,BANKSVILLE AVE,,1986,True,False,8.0,70.0,,Banksville,2,20,42003202300,5,20,6,4-9,40.40713063,-80.03450187
49,1112828690,Beechwood Blvd 1,BEECHWOOD BLVD,,1930,True,False,8.0,399.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beechwood_Blvd_1.jpg,Squirrel Hill South,5,14,42003141400,3,14,4,2-15,40.42095282,-79.91929911
390,1709671297,West Circuit Rd 1,W CIRCUIT RD,,,True,False,,915.0,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43659138,-79.94363079
53,2018651046,Beechwood Blvd 5,BEECHWOOD BLVD,,,True,False,,130.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beechwood_Blvd_5.jpg,Squirrel Hill South,5,14,42003140800,3,14,4,2-21,40.43569127,-79.9094209
391,595458078,West Circuit Rd 2,W CIRCUIT RD,,,True,False,,915.0,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43667153,-79.94362664
54,1225416348,Beechwood Blvd from English Ln to Nicholson St,BEECHWOOD BLVD,NICHOLSON ST,,True,False,,145.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beechwood_Blvd_from_English_Ln_to_Nicholson_St.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.43010853,-79.91512424
55,2014030948,Beechwood Blvd from Forbes Ave,BEECHWOOD BLVD,,,True,False,,770.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beechwood_Blvd_from_Forbes_Ave.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.43766048,-79.91031467
56,622612548,Beechwood Blvd from Nicholson St,BEECHWOOD BLVD,,,True,False,,60.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beechwood_Blvd_from_Nicholson_St.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.43044441,-79.91504712
392,25703348,Westfield St,WESTFIELD ST,,1942,True,False,7.0,239.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Westfield_St.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41316965,-80.01932257
59,570138229,Bellingham Ave 1,BELLINGHAM AVE,,1988,True,False,10.0,48.0,,Banksville,2,20,42003202300,5,20,6,4-9,40.4041544,-80.0382753
393,28924899,Wheeler St,WHEELER ST,,,True,False,,70.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Wheeler_St.jpg,Homewood North,9,13,42003130100,2,13,5,3-17,40.45648819,-79.88447066
254,1695268923,Mossfield St 2,MOSSFIELD ST,,1985,True,False,,390.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Mossfield_St_2.jpg,Garfield,9,10,42003101600,2,10,5,3-4,40.47181376,-79.9438938
255,1130280750,Mossfield St 3,MOSSFIELD ST,,1985,True,False,4.5,330.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Mossfield_St_3.jpg,Garfield,9,10,42003101600,2,10,5,3-4,40.46935268,-79.94687438
256,265100750,Mountain Ave 1,MOUNTAIN AVE,,,True,False,,115.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Mountain_Ave_1.jpg,St. Clair,3,16,42003561700,4,16,3,4-8,40.41318148,-79.97694241
394,1001561693,Wick St,WICK ST,,1985,True,False,6.0,143.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Wick_St.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.43957087,-79.97975633
35,675290045,Arlington Ave from William St,ARLINGTON AVE,,1940,True,False,7.0,117.0,,Allentown,3,18,42003180300,4,18,3,4-5,40.42812793,-79.99684121
50,662159653,Beechwood Blvd 2,BEECHWOOD BLVD,,1930,True,False,8.0,177.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beechwood_Blvd_2.jpg,Squirrel Hill South,5,14,42003141400,3,14,4,2-15,40.41893876,-79.92259005
51,1962934663,Beechwood Blvd 3,BEECHWOOD BLVD,,,True,False,,185.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beechwood_Blvd_3.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.43718422,-79.90868933
52,488332888,Beechwood Blvd 4,BEECHWOOD BLVD,,,True,False,,390.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beechwood_Blvd_4.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.43623195,-79.90869059
61,1054616011,Bessie St from Mina St 1,BESSIE AVE,,1988,True,False,2.0,112.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Bessie_St_from_Mina_St_1.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46865343,-79.99923693
246,187348261,Mission St 2,MISSION ST,,,True,False,,60.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Mission_St_2.jpg,South Side Slopes,3,16,42003160800,4,16,3,4-22,40.4223903,-79.96959203
247,2098472278,Mohler St from Willing St,MOHLER ST,,,True,False,,185.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Mohler_St_from_Willing_St.jpg,Homewood North,9,13,42003130100,2,13,5,3-17,40.45858822,-79.8857404
248,1107264722,Monroe St 1,MONROE ST,,1984,True,False,10.0,299.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Monroe_St_1.jpg,Upper Hill,6,5,42003050600,3,5,2,2-24,40.45580875,-79.96238768
36,554183124,Arnold St,ARNOLD ST,,1950,True,False,2.3,246.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Arnold_St.jpg,Crafton Heights,2,20,42003281500,5,20,6,1-17,40.44129225,-80.0454811
37,382298126,Athlone Way at Piermont St,ATHLONE WAY,,1945,True,False,2.5,118.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Athlone_Way_at_Piermont_St.jpg,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43468789,-80.01859838
44,1858954013,Baldwin Rd,BALDWIN RD,,1940,True,False,6.9,564.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Baldwin_Rd.jpg,Hays,5,31,42003562900,3,31,4,4-20,40.3881824,-79.932503
62,1268829506,Bessie St from Mina St 2,BESSIE AVE,,1931,True,False,3.0,25.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Bessie_St_from_Mina_St_2.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.468828,-79.9993287
261,943896771,N Charles St,N CHARLES ST,,1940,True,False,6.0,110.0,,Perry South,6,26,42003261500,1,26,1,1-12,40.46578858,-80.02064334
48,459567971,Bascom Ave,BASCOM ST,,,True,False,,210.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Bascom_Ave.jpg,Perry North,1,26,42003260200,1,26,1,1-15,40.49407205,-80.0245129
251,385328112,Mooney Rd 2,MOONEY RD,,2016,True,False,,150.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Mooney_Rd_2.jpg,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.37894328,-79.92334381
58,1247763156,Beelen St 2,BEELEN ST,,,True,False,,200.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beelen_St_2.jpg,West Oakland,6,4,42003040200,3,4,4,2-1,40.43775329,-79.97175663
